task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
13	0a/0897c1	8222	SAMTOOLS_SORT_QNAME_CF (ERR9968691)	COMPLETED	0	2026-09-19 00:07:22.691	6.9s	5.9s	743.8%	1.3 GB	7.4 GB	721.5 MB	780.2 MB
9	89/f93453	8885	SAMTOOLS_SORT_QNAME_CF (ERR6559223)	COMPLETED	0	2026-09-19 00:07:29.589	2.2s	1.3s	705.3%	334.9 MB	7.3 GB	154.7 MB	167.7 MB
98	ee/e57540	9270	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R1)	COMPLETED	0	2026-09-19 00:07:31.868	7m 4s	7m 2s	766.3%	6.8 GB	8 GB	62.8 GB	68.3 GB
1	ef/08a098	23775	SAMTOOLS_SORT_QNAME_CF (ERR1830498)	COMPLETED	0	2026-09-19 00:14:35.498	1.2s	289ms	483.2%	47.1 MB	7.3 GB	24.3 MB	25.4 MB
119	49/33fc81	24337	SAMBLASTER_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:37.715	1.6s	1s	188.4%	6.5 MB	23.3 MB	88.4 MB	88.3 MB
118	f7/62ec97	24674	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:39.372	1.3s	1s	175.4%	4.5 MB	18.2 MB	16.9 MB	6.9 MB
37	25/1ebc80	24104	SAMTOOLS_SORT_QNAME_CF (SRR24335767)	COMPLETED	0	2026-09-19 00:14:36.688	4.2s	3.2s	734.8%	909.9 MB	7.3 GB	381.4 MB	414.7 MB
120	90/1cd803	25085	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830498)	COMPLETED	0	2026-09-19 00:14:40.741	1.5s	0ms	178.5%	4.5 MB	18.2 MB	16.9 MB	4.9 MB
121	7b/57fc4f	25698	CIRCLEFINDER (ERR1830498)	COMPLETED	0	2026-09-19 00:14:43.281	535ms	329ms	135.1%	1.4 MB	110.6 MB	18.3 MB	6.9 MB
18	0d/d1b98b	25133	SAMTOOLS_SORT_QNAME_CF (SRR10163230)	COMPLETED	0	2026-09-19 00:14:40.867	1m 52s	1m 50s	740.8%	6.7 GB	8 GB	9.2 GB	11.4 GB
65	97/6bfe90	29303	SAMTOOLS_SORT_QNAME_CF (ERR10889838)	COMPLETED	0	2026-09-19 00:16:32.709	3m 34s	3m 32s	767.1%	6.8 GB	8.4 GB	25.9 GB	28 GB
109	99/3d42cb	35388	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-L2)	COMPLETED	0	2026-09-19 00:20:06.740	6m 42s	6m 40s	767.4%	6.7 GB	8 GB	58.7 GB	64.5 GB
92	19/d5ec19	46294	SAMTOOLS_SORT_QNAME_CF (SRR5051136)	COMPLETED	0	2026-09-19 00:26:48.431	2.1s	1.1s	674.4%	8.1 MB	6.5 GB	126.8 MB	131.4 MB
53	0f/6b36b2	46602	SAMTOOLS_SORT_QNAME_CF (CRR3168888)	COMPLETED	0	2026-09-19 00:26:50.538	3m 10s	3m 8s	779.1%	6.7 GB	8 GB	21.1 GB	23.9 GB
56	93/fae43a	51989	SAMTOOLS_SORT_QNAME_CF (SRR13922189)	COMPLETED	0	2026-09-19 00:30:00.456	2.9s	2s	724.5%	472.4 MB	7.3 GB	305.9 MB	326.3 MB
82	f8/a4907b	52412	SAMTOOLS_SORT_QNAME_CF (ERR12389806)	COMPLETED	0	2026-09-19 00:30:03.337	12m 18s	12m 17s	760.0%	6.8 GB	9.3 GB	74.2 GB	87.4 GB
30	d1/002518	73548	SAMTOOLS_SORT_QNAME_CF (SRR24335745)	COMPLETED	0	2026-09-19 00:42:21.494	8.3s	7.3s	679.5%	1.5 GB	7.4 GB	827.5 MB	911.1 MB
113	40/5b35ea	74265	SAMTOOLS_SORT_QNAME_CF (CRR1082978)	COMPLETED	0	2026-09-19 00:42:29.834	7m 50s	7m 48s	674.5%	6.8 GB	8 GB	34.5 GB	40.4 GB
16	70/4b9d13	85894	SAMTOOLS_SORT_QNAME_CF (SRR10163228)	COMPLETED	0	2026-09-19 00:50:19.411	1m 46s	1m 44s	740.6%	6.7 GB	8 GB	8.8 GB	10.9 GB
69	76/eaa530	88913	SAMTOOLS_SORT_QNAME_CF (ERR10889849)	COMPLETED	0	2026-09-19 00:52:05.000	4m 19s	4m 18s	759.3%	6.8 GB	8.4 GB	34.7 GB	37.7 GB
73	55/154cf0	95874	SAMTOOLS_SORT_QNAME_CF (ERR10889853)	COMPLETED	0	2026-09-19 00:56:24.487	4m 56s	4m 54s	767.6%	6.8 GB	8.4 GB	36.9 GB	41.9 GB
99	8e/977e0f	103802	SAMTOOLS_SORT_QNAME_CF (ecc-ct-R2)	COMPLETED	0	2026-09-19 01:01:20.430	9m 57s	9m 54s	767.8%	6.7 GB	8.2 GB	81.4 GB	88 GB
86	ea/e1a305	124552	SAMTOOLS_SORT_QNAME_CF (ERR1830503)	COMPLETED	0	2026-09-19 01:11:17.903	11.4s	9.8s	758.1%	1.9 GB	7.5 GB	965.3 MB	1.1 GB
68	94/2063a5	125553	SAMTOOLS_SORT_QNAME_CF (ERR10889848)	COMPLETED	0	2026-09-19 01:11:29.349	7m 14s	7m 11s	742.7%	6.8 GB	8.4 GB	45.1 GB	50.1 GB
54	be/cc7aaf	10541	SAMTOOLS_SORT_QNAME_CF (CRR3168889)	COMPLETED	0	2026-09-19 01:18:42.863	4m 52s	4m 48s	727.1%	6.7 GB	7.9 GB	25.5 GB	29 GB
2	09/ef011b	18572	SAMTOOLS_SORT_QNAME_CF (ERR1830499)	COMPLETED	0	2026-09-19 01:23:34.751	1.3s	499ms	674.7%	66 MB	6.7 GB	63.5 MB	68.1 MB
122	a0/91d30d	19100	SAMBLASTER_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:37.097	3.5s	3s	139.7%	7.9 MB	24.4 MB	237.2 MB	237 MB
123	fb/0f582b	19858	BEDTOOLS_SORTEDBAM2BED_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:40.615	2.9s	1s	177.1%	4.5 MB	18.2 MB	45.1 MB	17.2 MB
124	e1/acbbc3	20470	BEDTOOLS_SPLITBAM2BED_FIXED (ERR1830499)	COMPLETED	0	2026-09-19 01:23:43.541	2.8s	1s	191.2%	4.5 MB	18.2 MB	45.1 MB	12.9 MB
125	74/2d0faf	21140	CIRCLEFINDER (ERR1830499)	COMPLETED	0	2026-09-19 01:23:47.359	729ms	568ms	131.7%	1.4 MB	110.6 MB	52.9 MB	22.4 MB
110	55/08f850	18881	SAMTOOLS_SORT_QNAME_CF (ecc-dt4-R1)	COMPLETED	0	2026-09-19 01:23:36.091	6m 40s	6m 37s	719.2%	6.7 GB	8 GB	51.2 GB	54.2 GB
91	8d/be6ee3	33309	SAMTOOLS_SORT_QNAME_CF (ERR1830508)	COMPLETED	0	2026-09-19 01:30:15.727	4s	2.9s	753.6%	645.9 MB	7.4 GB	367.4 MB	380 MB
112	83/780456	33737	SAMTOOLS_SORT_QNAME_CF (CRR1082977)	COMPLETED	0	2026-09-19 01:30:19.699	7m 23s	7m 20s	698.3%	6.7 GB	8 GB	31.8 GB	38.1 GB
41	d8/817925	57489	SAMTOOLS_SORT_QNAME_CF (SRR24335771)	COMPLETED	0	2026-09-19 01:37:42.245	8.5s	7.3s	709.3%	1.3 GB	7.4 GB	722 MB	780.7 MB
44	af/2b6264	59881	SAMTOOLS_SORT_QNAME_CF (SRR24335774)	COMPLETED	0	2026-09-19 01:37:50.739	3.2s	2s	717.9%	488.6 MB	7.3 GB	238.5 MB	253.1 MB
87	7c/1e8973	60477	SAMTOOLS_SORT_QNAME_CF (ERR1830504)	COMPLETED	0	2026-09-19 01:37:53.978	4.8s	3.5s	764.8%	834.6 MB	7.4 GB	477.9 MB	523.2 MB
80	74/4944b9	61676	SAMTOOLS_SORT_QNAME_CF (ERR12389804)	COMPLETED	0	2026-09-19 01:37:58.821	13m 32s	13m 29s	690.2%	6.8 GB	9.1 GB	68.8 GB	81.9 GB
43	97/46a53d	109281	SAMTOOLS_SORT_QNAME_CF (SRR24335773)	COMPLETED	0	2026-09-19 01:51:31.160	5.6s	4s	720.2%	1.1 GB	7.4 GB	441.4 MB	502.7 MB
