sample,fastq_1,fastq_2
DRR426557,/data1/users/siyangming/eccDNA/Cryptomeria_japonica/DRR426557_1.fastq.gz,/data1/users/siyangming/eccDNA/Cryptomeria_japonica/DRR426557_2.fastq.gz
DRR426558,/data1/users/siyangming/eccDNA/Cryptomeria_japonica/DRR426558_1.fastq.gz,/data1/users/siyangming/eccDNA/Cryptomeria_japonica/DRR426558_2.fastq.gz
ERR10889838,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889838_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889838_2.fastq.gz
ERR10889842,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889842_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889842_2.fastq.gz
ERR10889843,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889843_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889843_2.fastq.gz
ERR10889848,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889848_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889848_2.fastq.gz
ERR10889849,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889849_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889849_2.fastq.gz
ERR10889850,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889850_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889850_2.fastq.gz
ERR10889851,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889851_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889851_2.fastq.gz
ERR10889852,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889852_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889852_2.fastq.gz
ERR10889853,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889853_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889853_2.fastq.gz
ERR10889854,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889854_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889854_2.fastq.gz
ERR10889855,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889855_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR10889855_2.fastq.gz
ERR11535564,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535564_1.fastq.gz,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535564_2.fastq.gz
ERR11535565,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535565_1.fastq.gz,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535565_2.fastq.gz
ERR11535567,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535567_1.fastq.gz,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535567_2.fastq.gz
ERR11535568,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535568_1.fastq.gz,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535568_2.fastq.gz
ERR12389800,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389800_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389800_2.fastq.gz
ERR12389801,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389801_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389801_2.fastq.gz
ERR12389802,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389802_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389802_2.fastq.gz
ERR12389803,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389803_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389803_2.fastq.gz
ERR12389804,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389804_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389804_2.fastq.gz
ERR12389805,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389805_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389805_2.fastq.gz
ERR12389806,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389806_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389806_2.fastq.gz
ERR12389807,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389807_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389807_2.fastq.gz
ERR12389808,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389808_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa/ERR12389808_2.fastq.gz
ERR1830498,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830498_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830498_2.fastq.gz
ERR1830499,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830499_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830499_2.fastq.gz
ERR1830500,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830500_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830500_2.fastq.gz
ERR1830501,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830501_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR1830501_2.fastq.gz
ERR1830502,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830502_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830502_2.fastq.gz
ERR1830503,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830503_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830503_2.fastq.gz
ERR1830504,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830504_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830504_2.fastq.gz
ERR1830505,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830505_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830505_2.fastq.gz
ERR1830506,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830506_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830506_2.fastq.gz
ERR1830507,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830507_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830507_2.fastq.gz
ERR1830508,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830508_1.fastq.gz,/data1/users/siyangming/eccDNA/Oryza_sativa_Japonica_Group/ERR1830508_2.fastq.gz
ERR6326000,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326000_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326000_2.fastq.gz
ERR6326075,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326075_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326075_2.fastq.gz
ERR6326076,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326076_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326076_2.fastq.gz
ERR6326077,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326077_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6326077_2.fastq.gz
ERR6326084,/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326084_1.fastq.gz,/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326084_2.fastq.gz
ERR6326085,/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326085_1.fastq.gz,/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR6326085_2.fastq.gz
ERR6559223,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6559223_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR6559223_2.fastq.gz
ERR9968613,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968613_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968613_2.fastq.gz
ERR9968689,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968689_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968689_2.fastq.gz
ERR9968690,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968690_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968690_2.fastq.gz
ERR9968691,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968691_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968691_2.fastq.gz
ERR9968692,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968692_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968692_2.fastq.gz
ERR9968693,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968693_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/ERR9968693_2.fastq.gz
SRR10163228,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163228_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163228_2.fastq.gz
SRR10163229,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163229_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163229_2.fastq.gz
SRR10163230,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163230_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163230_2.fastq.gz
SRR10163231,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163231_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163231_2.fastq.gz
SRR10163232,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163232_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163232_2.fastq.gz
SRR10163233,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163233_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163233_2.fastq.gz
SRR10163234,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163234_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163234_2.fastq.gz
SRR10163235,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163235_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163235_2.fastq.gz
SRR10163236,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163236_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163236_2.fastq.gz
SRR10163237,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163237_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163237_2.fastq.gz
SRR10163238,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163238_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163238_2.fastq.gz
SRR10163239,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163239_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR10163239_2.fastq.gz
SRR13922189,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922189_1.fastq.gz,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922189_2.fastq.gz
SRR13922190,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922190_1.fastq.gz,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922190_2.fastq.gz
SRR13922191,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922191_1.fastq.gz,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922191_2.fastq.gz
SRR13922192,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922192_1.fastq.gz,/data1/users/siyangming/eccDNA/Daucus_carota/SRR13922192_2.fastq.gz
SRR24335743,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335743_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335743_2.fastq.gz
SRR24335744,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335744_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335744_2.fastq.gz
SRR24335745,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335745_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335745_2.fastq.gz
SRR24335746,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335746_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335746_2.fastq.gz
SRR24335747,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335747_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335747_2.fastq.gz
SRR24335748,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335748_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335748_2.fastq.gz
SRR24335752,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335752_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335752_2.fastq.gz
SRR24335763,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335763_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335763_2.fastq.gz
SRR24335766,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335766_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335766_2.fastq.gz
SRR24335767,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335767_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335767_2.fastq.gz
SRR24335768,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335768_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335768_2.fastq.gz
SRR24335769,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335769_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335769_2.fastq.gz
SRR24335770,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335770_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335770_2.fastq.gz
SRR24335771,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335771_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335771_2.fastq.gz
SRR24335772,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335772_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335772_2.fastq.gz
SRR24335773,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335773_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335773_2.fastq.gz
SRR24335774,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335774_1.fastq.gz,/data1/users/siyangming/eccDNA/Arabidopsis_thaliana/SRR24335774_2.fastq.gz
