sample,fastq_1,fastq_2
CRR1082975,/data1/users/siyangming/eccDNA/Lycium_ruthenicum/CRR1082975_1.fastq.gz,/data1/users/siyangming/eccDNA/Lycium_ruthenicum/CRR1082975_2.fastq.gz
CRR1082976,/data1/users/siyangming/eccDNA/Lycium_ruthenicum/CRR1082976_1.fastq.gz,/data1/users/siyangming/eccDNA/Lycium_ruthenicum/CRR1082976_2.fastq.gz
CRR1082977,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082977_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082977_2.fastq.gz
CRR1082978,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082978_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082978_2.fastq.gz
CRR1082979,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082979_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082979_2.fastq.gz
CRR1082980,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082980_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR1082980_2.fastq.gz
CRR3168885,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168885_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168885_2.fastq.gz
CRR3168886,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168886_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168886_2.fastq.gz
CRR3168887,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168887_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168887_2.fastq.gz
CRR3168888,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168888_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168888_2.fastq.gz
CRR3168889,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168889_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168889_2.fastq.gz
CRR3168890,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168890_1.fastq.gz,/data1/users/siyangming/eccDNA/Cynodon_dactylon/CRR3168890_2.fastq.gz
CRR924678,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR924678_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR924678_2.fastq.gz
CRR924679,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR924679_1.fastq.gz,/data1/users/siyangming/eccDNA/Solanum_lycopersicum/CRR924679_2.fastq.gz
ERR11535563,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535563_1.fastq.gz,/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535563_2.fastq.gz
ERR11535566,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535566_1.fastq.gz,/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535566_2.fastq.gz
ERR6004146,/data1/users/siyangming/eccDNA/Beta_vulgaris/ERR6004146_1.fastq.gz,/data1/users/siyangming/eccDNA/Beta_vulgaris/ERR6004146_2.fastq.gz
