sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
CRR1082975,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082975_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Lycium_ruthenicum/CRR1082975_2.fastq.gz,,,illumina,circleseq,eccdna,PRJCA020795,false,pe,circleseq
CRR3168885,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cynodon_dactylon/CRR3168885_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cynodon_dactylon/CRR3168885_2.fastq.gz,,,illumina,circleseq,eccdna,PRJCA066042,false,pe,exov
CRR3168890,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cynodon_dactylon/CRR3168890_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cynodon_dactylon/CRR3168890_2.fastq.gz,,,illumina,circleseq,eccdna,PRJCA066042,false,pe,exov
DRR426557,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cryptomeria_japonica/DRR426557_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Cryptomeria_japonica/DRR426557_2.fastq.gz,,,illumina,circleseq,eccdna,DRP012371,false,pe,circleseq
ERR10889836,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR10889836_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR10889836_2.fastq.gz,,,illumina,circleseq,eccdna,PRJEB59090,false,pe,circleseq
ERR11535563,/data1/users/siyangming/PlanteccDNADB/eccDNA/Artemisia_annua/ERR11535563_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Artemisia_annua/ERR11535563_2.fastq.gz,,,illumina,wgs,gdna,PRJEB63080,false,pe,none
ERR11535564,/data1/users/siyangming/PlanteccDNADB/eccDNA/Artemisia_annua/ERR11535564_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Artemisia_annua/ERR11535564_2.fastq.gz,,,illumina,circleseq,eccdna,PRJEB63080,false,pe,mobilome
ERR11838731,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR11838731.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJEB59090,false,hifi,none
ERR11838732,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR11838732_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa/ERR11838732_2.fastq.gz,,,illumina,wgs,gdna,PRJEB59090,false,pe,none
ERR12723706,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12723706.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJEB72688,false,ont,none
ERR12724336,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR12724336.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB72688,true,ont,other
ERR16932737,/data1/users/siyangming/PlanteccDNADB/eccDNA/Triticum_aestivum/ERR16932737.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJEB72688,false,ont,none
ERR1830498,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR1830498_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR1830498_2.fastq.gz,,,illumina,wgs,gdna,ERP015098,false,pe,none
ERR6004146,/data1/users/siyangming/PlanteccDNADB/eccDNA/Beta_vulgaris_subsp._vulgaris/ERR6004146_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Beta_vulgaris_subsp._vulgaris/ERR6004146_2.fastq.gz,,,illumina,circleseq,eccdna,PRJEB45524,false,pe,mobilome
ERR6326000,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR6326000.fastq.gz,,,,illumina,circleseq,eccdna,PRJEB46420,false,se,circleseq
ERR6326020,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR6326020.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJEB46420,true,ont,other
ERR9968613,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR9968613_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/ERR9968613_2.fastq.gz,,,illumina,circleseq,eccdna,ERP138467,false,pe,circleseq
SRR10163228,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR10163228_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR10163228_2.fastq.gz,,,illumina,wgs,gdna,PRJNA...,false,pe,none
SRR13922189,/data1/users/siyangming/PlanteccDNADB/eccDNA/Daucus_carota/SRR13922189_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Daucus_carota/SRR13922189_2.fastq.gz,,,illumina,circleseq,eccdna,PRJNA...,false,pe,circleseq
SRR16958693,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958693.fastq.gz,,,cleaned_fastq,pacbio,ciderseq,eccdna,PRJNA780915,false,clr,ciderseq
SRR24335743,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335743.fastq.gz,,,,illumina,circleseq,eccdna,PRJNA961124,false,se,circleseq
SRR24335749,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335749.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335762,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335762.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA961124,true,ont,mobilome
SRR24693334,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693334.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR26069818,/data1/users/siyangming/PlanteccDNADB/eccDNA/Alopecurus_myosuroides/SRR26069818.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA1017797,false,clr,other
SRR28004411,/data1/users/siyangming/PlanteccDNADB/eccDNA/Solanum_lycopersicum/SRR28004411.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA1077878,false,ont,other
SRR30359583,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359583.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
SRR31773424,/data1/users/siyangming/PlanteccDNADB/eccDNA/Helianthus_annuus/SRR31773424.fastq.gz,,,cleaned_fastq,ont,enriched,eccdna,PRJNA1200253,false,ont,other
SRR32429746,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR32429746_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR32429746_2.fastq.gz,,,illumina,wgs,gdna,PRJNA...,false,pe,none
SRR36603439,/data1/users/siyangming/PlanteccDNADB/eccDNA/Nicotiana_benthamiana/SRR36603439.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA1393863,true,ont,other
SRR5051136,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa_Japonica_Group/SRR5051136_1.fastq.gz,/data1/users/siyangming/PlanteccDNADB/eccDNA/Oryza_sativa_Japonica_Group/SRR5051136_2.fastq.gz,,,illumina,circleseq,eccdna,PRJNA...,false,pe,circleseq
