sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
SRR16958684,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958684.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958685,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958685.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958686,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958686.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958687,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958687.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958688,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958688.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958689,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958689.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958690,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958690.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958691,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958691.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958692,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958692.fastq.gz,,,cleaned_fastq,pacbio,rca,eccdna,PRJNA780915,true,clr,other
SRR16958693,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR16958693.fastq.gz,,,cleaned_fastq,pacbio,ciderseq,eccdna,,false,clr,ciderseq
SRR30359583,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359583.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,,false,hifi,none
SRR30359584,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359584.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
SRR30359585,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359585.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
SRR30359586,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359586.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
SRR30359587,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359587.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
SRR30359588,/data1/users/siyangming/PlanteccDNADB/eccDNA/Amaranthus_palmeri/SRR30359588.fastq.gz,,,cleaned_fastq,pacbio,wgs,gdna,PRJNA1151833,false,hifi,none
