sample,fastq_1,fastq_2,input_bam,entrypoint,platform,assay,datatype,pair,concatemer,read_type,enrichment
SRR24335749,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335749.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,,false,ont,none
SRR24335750,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335750.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335751,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335751.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335753,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335753.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335754,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335754.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335755,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335755.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335756,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335756.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335757,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335757.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335758,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335758.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335759,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335759.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335760,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335760.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335761,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335761.fastq.gz,,,cleaned_fastq,ont,wgs,gdna,PRJNA961124,false,ont,none
SRR24335762,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335762.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,,true,ont,mobilome
SRR24335764,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335764.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA961124,true,ont,other
SRR24335765,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24335765.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA961124,true,ont,other
SRR24693334,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693334.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,,true,ont,other
SRR24693335,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693335.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693336,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693336.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693337,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693337.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693338,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693338.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693339,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693339.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693340,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693340.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693341,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693341.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693342,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693342.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693343,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693343.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693344,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693344.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
SRR24693345,/data1/users/siyangming/PlanteccDNADB/eccDNA/Arabidopsis_thaliana/SRR24693345.fastq.gz,,,cleaned_fastq,ont,rca,eccdna,PRJNA975338,true,ont,other
