file	format	type	num_seqs	sum_len	min_len	avg_len	max_len	Q1	Q2	Q3	sum_gap	N50	N50_num	Q20(%)	Q30(%)	AvgQual	GC(%)	sum_n
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535564_1.fastq.gz	FASTQ	DNA	18769154	2834142254	151	151.0	151	151	151	151	0	151	1	97	92	25.59	40.25	2548
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535564_2.fastq.gz	FASTQ	DNA	18769154	2834142254	151	151.0	151	151	151	151	0	151	1	94	87	23.11	40.34	275542
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535563_1.fastq.gz	FASTQ	DNA	14287207	2157368257	151	151.0	151	151	151	151	0	151	1	98	93	26.49	36.58	2104
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535563_2.fastq.gz	FASTQ	DNA	14287207	2157368257	151	151.0	151	151	151	151	0	151	1	94	85	22.57	36.84	210418
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535565_1.fastq.gz	FASTQ	DNA	20200632	3050295432	151	151.0	151	151	151	151	0	151	1	97	93	26.20	39.72	13079
/data1/users/siyangming/eccDNA/Artemisia_annua/ERR11535565_2.fastq.gz	FASTQ	DNA	20200632	3050295432	151	151.0	151	151	151	151	0	151	1	95	88	23.66	39.96	188332
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535567_1.fastq.gz	FASTQ	DNA	20357622	3074000922	151	151.0	151	151	151	151	0	151	1	97	92	25.81	43.03	2882
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535567_2.fastq.gz	FASTQ	DNA	20357622	3074000922	151	151.0	151	151	151	151	0	151	1	95	88	23.44	43.32	303219
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535568_1.fastq.gz	FASTQ	DNA	18569929	2804059279	151	151.0	151	151	151	151	0	151	1	97	91	25.17	41.86	2615
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535568_2.fastq.gz	FASTQ	DNA	18569929	2804059279	151	151.0	151	151	151	151	0	151	1	95	88	23.64	41.85	270656
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535566_1.fastq.gz	FASTQ	DNA	15886747	2398898797	151	151.0	151	151	151	151	0	151	1	97	93	26.05	38.21	95498
/data1/users/siyangming/eccDNA/Tragopogon_porrifolius/ERR11535566_2.fastq.gz	FASTQ	DNA	15886747	2398898797	151	151.0	151	151	151	151	0	151	1	94	87	23.03	38.36	4469
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724370.fastq.gz	FASTQ	DNA	391910	723416967	70	1845.9	234553	370	760	1893	0	4316	12717	70	47	13.61	48.48	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724366.fastq.gz	FASTQ	DNA	580058	960044670	68	1655.1	89573	417	783	1664	0	3352	14223	71	47	13.92	44.20	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724387.fastq.gz	FASTQ	DNA	491408	1101656381	73	2241.8	157875	422	830	1976	0	6263	16617	71	47	14.32	44.57	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724385.fastq.gz	FASTQ	DNA	507702	1392846984	65	2743.4	146809	414	887	2398	0	8609	18362	71	46	14.47	45.04	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724369.fastq.gz	FASTQ	DNA	727996	1589456729	63	2183.3	141930	397	884	2266	0	5319	17975	72	49	14.17	46.45	0
/data1/users/siyangming/eccDNA/Triticum_aestivum/ERR12724374.fastq.gz	FASTQ	DNA	579321	989408453	72	1707.9	163234	392	751	1631	0	3706	15494	71	47	13.83	45.02	0
